hotelSequence;hotelName;destinationCode;averageRoom;averageFacilities;averageClean;averageFood;averagePersonal;averageCheckin;averageQuality;travelmodePleasure;travelmodeFriends;travelmodeBusiness;companionAlone;companionPartner;companionFamily;companionFriends;companionColleagues;recomendationIndividuals;recomendationCouples;recomendationFamilies;recomendationGroups;recomendationBusiness;numberReviews;mailsEnviados;mediumValue
60.704;Phi Phi Island Village;PHZ;5;4;5;4;4;4;4;8;0;0;0;5;3;0;0;4;8;6;4;1;8;29;4
5.050;Soller Garden;PMI;3;4;4;3;4;5;4;11;1;0;1;8;1;1;1;5;5;6;2;0;12;38;3
505;Hotasa Costa Salinas;SPC;4;4;4;5;5;5;4;5;1;0;0;2;4;0;0;1;4;6;2;0;6;17;4
86.740;Santa Cruz Dream Inn;MRY;4;3;4;0;4;0;3;1;0;0;0;0;1;0;0;0;0;1;0;0;1;6;4
142.442;Apartamentos Casanova;AGP;4;4;4;0;4;0;4;1;0;0;0;1;0;0;0;0;1;1;0;0;1;2;4
8.332;Bahia Calpe;ALC;4;4;4;3;4;4;4;37;1;3;1;22;16;2;0;15;28;25;15;8;41;112;4
143.548;El Faracha;TN1;3;2;3;3;3;0;3;5;0;0;5;0;0;0;0;4;3;4;3;1;5;25;3
124.518;Roulette Boi Taull 2*;PIR;3;3;4;4;4;4;4;3;0;0;0;0;3;0;0;0;0;1;2;0;3;7;4
74.871;CVJM Duesseldorf Hotel & Tagung;DUS;4;4;5;4;5;5;5;11;2;1;5;4;2;3;0;11;10;6;3;3;14;45;4
4.237;Hotel Pax;GUJ;3;3;4;3;4;4;3;7;3;5;2;8;3;0;2;4;4;4;3;3;15;59;3
163.017;Thb Reserva del Higueron;AGP;5;5;5;5;4;0;5;5;2;0;1;5;1;0;0;3;6;3;1;0;7;21;4
131.165;Hampton Inn Cocoa Beach;COI;3;3;2;1;4;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;3
90.166;Galdana Palms;MAH;5;5;5;0;5;4;4;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;5
17.967;Reval Hotel Latvia;RIX;3;3;4;4;4;4;4;7;0;0;1;4;1;1;0;6;5;3;2;3;7;28;4
179.670;Vaquers 3000 apartamentos;AND;1;2;3;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2
4.378;AC La Rioja;LOG;4;4;5;4;4;5;4;31;3;3;1;24;3;9;0;25;33;24;15;16;37;125;4
59.269;Shangri-la Hotel Dubai;DXB;5;4;5;4;4;0;4;1;0;1;1;0;0;1;0;1;0;1;0;1;2;39;4
6.889;Faro Mazatlan Beach Resort;MAZ;3;4;4;3;3;3;3;10;0;0;0;4;5;1;0;2;2;4;1;3;10;23;3
77.314;Leonardo Hotel Berlin City SǬd;BER;3;4;5;0;4;0;3;1;0;0;0;1;0;0;0;1;1;1;1;0;1;7;4
1.162;Hesperia Sabinal;LEI;4;4;4;4;4;5;4;51;8;5;6;22;26;10;0;21;42;52;28;7;64;202;4
197.997;Comfort Grand Central;OSL;4;4;5;5;4;0;4;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;4
14.080;Blair Victoria & Tudor Inn;LON;2;2;3;2;3;3;3;86;11;14;23;37;29;20;2;33;21;13;8;2;111;344;3
1.408;Costa Brava;LLM;5;5;5;4;4;4;4;2;0;0;0;1;1;0;0;0;1;1;0;0;2;7;4
7.822;Foxa M30;MAD;5;4;5;4;5;5;5;4;2;4;2;4;3;0;1;4;5;5;4;7;10;39;4
78.220;Arena di Serdica;SOF;5;5;5;4;4;5;5;9;1;4;6;3;3;2;0;13;13;5;4;12;14;41;5
69.612;Regal Airport;HKG;4;3;4;5;2;0;3;3;0;1;2;0;1;1;0;3;3;3;3;0;4;19;3
2.968;Puerto Plata;LPA;4;4;5;4;4;5;5;8;1;0;0;6;1;2;0;6;7;6;5;1;9;44;4
145.911;Casa Casti?eira;SCQ;4;5;5;0;5;0;5;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;5
57.942;Bisonte Libertad;BUE;4;4;5;3;3;0;4;1;0;0;0;0;0;1;0;1;1;1;1;0;1;5;4
142.540;Posada San Fernando;SVQ;5;4;5;0;5;0;5;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;5
49.133;Aska Costa Holiday Club;SID;2;4;4;5;5;0;4;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;4
94.931;Kensington House Aparthotel;NCL;5;4;5;0;5;5;5;2;0;1;0;0;2;0;0;2;3;3;1;2;3;15;5
189.024;Villa Cayo Saetia;HOG;3;2;4;3;3;0;3;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;3
17.191;Mercure Hotel Berlin am Alexanderplatz;BER;4;4;4;4;4;4;4;72;3;5;8;37;14;20;1;48;50;48;42;23;80;257;4
15.396;Sun Beach Resort Complex;RHO;5;5;5;4;5;5;5;2;0;0;0;0;2;0;0;0;1;2;0;0;2;8;5
145.260;Interjumbria Golden Beach;FAO;5;4;4;0;5;0;5;1;1;0;0;1;1;0;0;1;2;1;1;0;2;4;4
81.353;Atlantic Garden;FUE;4;4;3;3;4;4;4;54;0;2;3;33;11;7;1;25;46;38;18;4;56;173;4
17.279;Sveta Sofia;SOF;4;4;4;3;4;4;4;14;1;3;3;9;1;3;1;9;10;7;4;5;18;52;4
211.548;Residence Cenisio;MIL;3;3;2;0;3;0;3;1;0;0;0;0;1;0;0;1;1;1;1;0;1;2;3
104.314;Albatros Apartments;TFS;3;3;4;4;4;0;4;2;0;0;0;1;0;1;0;1;1;1;1;0;2;4;4
85.797;Stamford Grand Adelaide;ADL;4;3;4;5;4;4;3;2;0;1;1;2;0;0;0;2;2;2;2;3;3;19;4
161.636;Ibis Song Dynasty Hangzhou;HGH;3;3;3;0;2;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;3
91.090;Villa Eva;GDN;4;4;5;4;5;4;4;14;0;2;2;6;3;5;0;8;14;5;0;6;16;53;4
13.566;Red Roof Inn Downtown;WAS;5;5;5;4;5;5;5;1;0;0;0;0;1;0;0;1;0;1;0;0;1;2;5
70.381;Colon Rambla;TFS;4;4;4;3;4;3;4;7;2;4;3;7;2;0;1;7;8;5;2;6;13;51;3
35.339;Alexis;LLM;3;3;4;3;4;4;4;6;0;0;0;2;4;0;0;2;2;4;3;1;6;26;3
141.621;Kervansaray Canakkale;TR1;4;4;5;4;5;0;5;1;0;0;0;0;0;1;0;1;1;1;0;0;1;4;5
5.201;Pateo Village;FAO;4;4;4;3;4;4;4;48;2;0;3;19;23;5;0;9;32;39;16;2;50;170;4
